timestamp_utc,stage,mode,detail
2026-08-14T15:30:25.890995+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""329.63"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T15:30:24+00:00""}"
2026-08-14T15:31:07.190460+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""signals"": 178}"
2026-08-14T16:00:28.484501+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""328.08"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T16:00:27+00:00""}"
2026-08-14T16:01:12.077602+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 26, ""signals"": 161}"
2026-08-14T16:15:49.352190+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 161, ""open"": 6, ""pair_held"": 7, ""regime_blocked"": 26, ""skipped"": 0, ""slot_full"": 149}, ""regime_blocked"": 26, ""signals"": 161}"
2026-08-14T16:30:32.467399+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""330.45"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T16:30:31+00:00""}"
2026-08-14T16:30:52.105167+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 26, ""signals"": 159}"
2026-08-14T17:00:25.431896+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""327.62"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T17:00:24+00:00""}"
2026-08-14T17:00:47.509680+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 39, ""signals"": 146}"
2026-08-14T17:15:43.169788+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 145, ""open"": 6, ""pair_held"": 0, ""regime_blocked"": 39, ""skipped"": 0, ""slot_full"": 145}, ""regime_blocked"": 39, ""signals"": 145}"
2026-08-14T17:30:27.419018+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""329.40"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T17:30:26+00:00""}"
2026-08-14T17:30:59.316759+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 39, ""signals"": 146}"
2026-08-14T18:00:27.663414+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""328.31"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T18:00:26+00:00""}"
2026-08-14T18:00:58.955668+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 26, ""signals"": 163}"
2026-08-14T18:16:06.205425+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 1, ""new_signals"": 163, ""open"": 6, ""pair_held"": 1, ""regime_blocked"": 26, ""skipped"": 0, ""slot_full"": 161}, ""regime_blocked"": 26, ""signals"": 163}"
2026-08-14T18:30:30.288290+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""329.13"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T18:30:29+00:00""}"
2026-08-14T18:31:14.395677+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 25, ""signals"": 157}"
2026-08-14T19:00:26.085666+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""327.53"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T19:00:25+00:00""}"
2026-08-14T19:00:57.220052+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 25, ""signals"": 156}"
2026-08-14T19:15:55.165869+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 154, ""open"": 6, ""pair_held"": 0, ""regime_blocked"": 25, ""skipped"": 0, ""slot_full"": 154}, ""regime_blocked"": 25, ""signals"": 154}"
2026-08-14T19:30:26.705630+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""326.80"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T19:30:25+00:00""}"
2026-08-14T19:31:09.243564+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 25, ""signals"": 156}"
2026-08-14T20:00:27.451022+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""326.85"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T20:00:26+00:00""}"
2026-08-14T20:01:11.421738+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 24, ""signals"": 158}"
2026-08-14T20:16:07.081548+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 158, ""open"": 6, ""pair_held"": 0, ""regime_blocked"": 24, ""skipped"": 0, ""slot_full"": 158}, ""regime_blocked"": 24, ""signals"": 158}"
2026-08-14T20:30:27.452135+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""327.03"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T20:30:26+00:00""}"
2026-08-14T20:30:58.102003+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 24, ""signals"": 158}"
2026-08-14T21:00:25.787587+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""327.03"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T21:00:25+00:00""}"
2026-08-14T21:01:08.437286+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 38, ""signals"": 144}"
2026-08-14T21:16:08.407466+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 144, ""open"": 6, ""pair_held"": 0, ""regime_blocked"": 38, ""skipped"": 0, ""slot_full"": 144}, ""regime_blocked"": 38, ""signals"": 144}"
2026-08-14T21:30:26.760426+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""327.03"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T21:30:25+00:00""}"
2026-08-14T21:30:59.699781+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 38, ""signals"": 144}"
2026-08-14T22:00:26.702156+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""325.66"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T22:00:26+00:00""}"
2026-08-14T22:00:57.806348+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 25, ""signals"": 158}"
2026-08-14T22:16:03.628093+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 155, ""open"": 6, ""pair_held"": 0, ""regime_blocked"": 25, ""skipped"": 0, ""slot_full"": 155}, ""regime_blocked"": 25, ""signals"": 155}"
2026-08-14T22:30:28.371087+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""325.11"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T22:30:27+00:00""}"
2026-08-14T22:30:50.308484+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 25, ""signals"": 154}"
2026-08-14T23:00:30.638233+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""325.11"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T23:00:29+00:00""}"
2026-08-14T23:01:13.837770+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""regime_blocked"": 24, ""signals"": 158}"
2026-08-14T23:16:05.461902+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 157, ""open"": 6, ""pair_held"": 0, ""regime_blocked"": 24, ""skipped"": 0, ""slot_full"": 157}, ""regime_blocked"": 24, ""signals"": 157}"
